class,year,elevation,eastness,northness,roughness,dew_temp,precip_annual,temp_annual_mean,temp_annual_min,temp_annual_max,temp_january_min,vapor_min,vapor_max,county,longitude,latitude
Yes,2016,493,-97,-22,75,3.09,2623,8.98,-1.19,14.1,3.85,85,1013,king,-121.398087,47.733704
Yes,2016,1218,-92,37,154,-0.56,2279,5.27,-4.23,9.39,1.15,139,696,snohomish,-121.20862,47.807781
Yes,2016,1061,-32,-94,52,-0.39,3145,5.49,-4.96,9.86,1.11,124,756,snohomish,-121.279234,47.964028
Yes,2016,587,67,74,44,2.25,3078,8.28,-1.89,12.82,3.77,119,859,snohomish,-121.421441,48.054572
Yes,2016,1169,-32,-94,170,-1.41,2940,5.27,-5.08,9.73,0.8,143,765,snohomish,-121.269301,48.108319
Yes,2016,467,64,-76,45,1.61,506,8.61,-5.31,15.03,2.2,100,1399,ferry,-118.131601,48.623755
Yes,2010,770,99,12,92,0.92,388,8.93,-3.87,14.95,2.91,187,1320,asotin,-117.199705,46.182991
Yes,2010,1163,24,96,71,0.09,804,8.38,-3.16,12.88,3.87,318,1046,garfield,-117.564043,46.329265
Yes,2010,645,26,-96,12,1.35,361,8.58,-4.82,15.06,2.11,165,1342,yakima,-120.873958,46.526938
Yes,2011,90,-37,92,11,5.94,2430,10.04,0.91,15.55,4.54,22,875,pacific,-123.524036,46.577798
No,2010,122,12,-99,44,6.37,1450,10.7,1.12,16.32,5.06,25,1000,lewis,-123.306576,46.635865
No,2010,148,100,0,2,6.75,1122,10.7,1.25,15.72,5.68,19,952,pierce,-122.322351,47.105268
Yes,2010,34,68,-73,41,6.8,1227,11.23,2.04,15.96,6.51,66,897,pierce,-122.613032,47.30355
Yes,2011,1796,-72,-68,102,-1.4,2330,2.37,-6.01,6.51,-1.77,87,500,jefferson,-123.224149,47.776539
Yes,2010,720,84,53,13,1.34,661,7.81,-5.46,14.24,1.39,82,1275,spokane,-117.196126,48.044172
Yes,2010,655,-27,96,46,1.34,539,7.9,-5.96,14.65,1.15,67,1329,stevens,-117.721291,48.138941
Yes,2010,51,-89,45,16,6.45,643,10.09,1.87,14.32,5.86,64,680,island,-122.621318,48.340761
Yes,2017,940,93,-34,98,-1.18,2062,6.46,-4.17,11.16,1.76,183,926,skagit,-121.115878,48.399113
Yes,2017,723,80,-58,42,1.65,1374,7.24,-4.08,12.43,2.06,109,971,kittitas,-121.112142,47.361922
Yes,2017,25,70,-70,1,7.51,2381,10.45,2.97,14.49,6.41,29,623,grays_harbor,-124.106786,47.121791
No,2017,25,22,97,4,6.72,1105,10.49,1.02,15.1,5.88,31,788,whatcom,-122.471538,48.898615
Yes,2017,681,-76,-64,134,4.19,1867,7.67,-0.87,11.93,3.42,57,701,pierce,-121.780289,47.133019
Yes,2017,717,53,84,137,5.17,5902,8.97,0.96,13.14,4.79,84,671,grays_harbor,-123.542799,47.351251
Yes,2017,1019,59,80,37,2.99,2034,6.97,-1.94,11.48,2.47,52,689,pierce,-122.05267,46.787612
Yes,2018,241,12,-99,5,5.58,1912,10.27,0.17,16.05,4.49,28,1043,lewis,-122.358962,46.583926
Yes,2017,778,44,89,76,4.77,2208,8.61,-0.47,13.1,4.13,63,781,lewis,-122.340983,46.442045
Yes,2017,1237,-12,-99,50,-0.97,565,5.75,-8.17,11.34,0.17,157,1058,ferry,-118.564883,48.354751
Yes,2017,2018,-100,0,73,-4.74,2032,1.31,-8.1,5.76,-3.14,100,578,chelan,-120.580383,48.371909
No,2018,873,-31,95,142,0.51,428,9.2,-5.21,14.56,3.84,273,1392,chelan,-120.270251,47.613072
Yes,2017,1733,13,-99,49,-2.57,771,3.74,-7.06,8.5,-1.03,185,693,kittitas,-120.359674,47.219275
No,2017,477,83,54,12,3.11,285,10.87,-2.65,16.71,5.03,219,1494,klickitat,-120.009332,46.001983
Yes,2018,836,-96,26,39,0.67,497,8.17,-4.5,14.49,1.86,172,1279,klickitat,-120.5264,45.934022
Yes,2017,938,-87,48,95,1.49,1775,6.63,-3.45,12.03,1.22,54,1004,skamania,-121.615419,46.33651
Yes,2017,928,63,-76,72,0.27,856,6.05,-7.42,12.65,-0.56,70,1119,pend_oreille,-117.199285,48.330777
Yes,2018,604,-78,61,32,1.92,597,8.69,-4.63,15.02,2.37,106,1335,spokane,-117.285061,47.896121
Yes,2017,799,52,84,20,1.78,693,8.26,-4.6,13.74,2.77,137,1208,spokane,-117.055162,47.796135
No,2017,762,-55,83,4,1.71,516,8.5,-3.94,14.71,2.31,104,1298,whitman,-117.195139,47.24586
Yes,2017,1156,85,51,139,-0.96,1068,4.96,-7.87,10.01,-0.08,145,876,pend_oreille,-117.420653,48.879022
No,2017,420,-96,-24,62,2,487,9.1,-4.65,15.46,2.75,112,1424,stevens,-118.076281,48.683404
Yes,2017,986,-36,92,74,0.5,540,7.92,-5.46,13.12,2.71,216,1186,ferry,-118.390676,48.175336
No,2017,483,54,-83,91,1.39,416,9.47,-4.23,15.82,3.12,186,1536,stevens,-118.160004,47.905261
Yes,2017,1231,-92,38,126,-1.49,659,5.56,-7.13,10.22,0.89,215,929,stevens,-118.070751,48.518113
Yes,2017,931,-83,55,136,-0.19,1027,5.85,-7.37,12.31,-0.62,78,1100,pend_oreille,-117.342002,48.717435
Yes,2017,1202,-78,61,59,-0.22,1085,5,-7.9,10.78,-0.78,97,918,pend_oreille,-117.171606,48.585834
Yes,2017,908,59,80,92,0.77,558,7.89,-5.53,13.45,2.34,185,1222,stevens,-117.863527,48.243255
No,2017,619,-100,0,1,2.13,453,9.25,-3.25,15.56,2.95,140,1355,whitman,-117.537985,47.071903
Yes,2017,1341,-67,73,70,-0.5,652,8.02,-3.65,12.63,3.42,330,1047,garfield,-117.468044,46.257449
Yes,2017,785,-88,-47,53,-1.3,2037,6.5,-6.75,12.67,0.32,117,1132,snohomish,-121.045331,48.19373
Yes,2018,1079,98,17,23,-0.19,470,7.3,-5.07,13.04,1.55,216,1149,klickitat,-120.384995,45.994867
Yes,2017,1659,-32,-94,137,-3.85,754,2.86,-9.25,8.07,-2.34,107,796,okanogan,-120.129119,48.923089
Yes,2017,3,6,-99,5,7.93,2211,10.62,3.77,14.23,7.02,34,578,grays_harbor,-124.120593,47.04973
No,2017,118,98,19,17,6.56,1104,11.24,2.14,15.79,6.68,90,931,king,-122.294025,47.473993
No,2017,76,90,43,22,6.8,834,10.31,1.72,14.88,5.75,29,745,island,-122.4911,48.09083
No,2017,80,-96,25,10,7,1012,11.16,2.11,15.64,6.69,49,860,king,-122.226842,47.769237
No,2017,554,19,98,22,2.84,273,10.63,-3,16.3,4.97,256,1445,yakima,-120.20164,46.11357
No,2017,493,-70,70,2,1.15,228,9.8,-5.13,16.01,3.59,231,1547,douglas,-119.698659,47.448701
No,2017,549,35,-93,116,0.94,279,9.3,-5.75,15.14,3.46,232,1455,douglas,-119.883968,47.481031
No,2017,758,-91,-39,12,1.75,580,8.32,-4.25,14.46,2.17,94,1270,spokane,-117.07541,47.456414
Yes,2017,890,62,-78,53,-0.14,514,7.79,-5.55,12.76,2.82,240,1136,chelan,-120.227674,47.293252
Yes,2017,667,-77,63,12,1.39,521,7.98,-5.77,14.76,1.2,63,1340,stevens,-117.795701,48.094862
Yes,2017,1643,-56,82,71,-3.8,1487,3.43,-8.42,8.52,-1.66,135,820,okanogan,-120.356975,48.262346
Yes,2018,13,41,-91,8,6.86,918,10.52,2.06,14.37,6.66,51,679,whatcom,-122.628349,48.74577
No,2017,827,57,81,17,-0.08,327,8.25,-5.79,13.47,3.02,252,1257,douglas,-120.047506,47.422691
No,2017,779,-93,34,14,0.09,293,7.95,-7.06,13.88,2.01,189,1325,douglas,-119.720285,47.608557
No,2017,730,44,-89,3,1.22,351,8.16,-5.38,14.29,2.04,131,1304,lincoln,-118.461168,47.714691
Yes,2017,130,-99,2,87,6.46,2067,10.58,1.54,15.57,5.59,36,897,mason,-123.238965,47.330033
No,2017,948,-56,-82,36,0.11,365,7.91,-5.11,13.39,2.43,242,1214,yakima,-120.110598,46.647209
No,2017,643,-99,2,33,1.59,259,8.73,-5.46,15.18,2.28,142,1335,kittitas,-120.329295,46.919189
Yes,2017,314,2,99,120,4.42,1853,9.87,-0.56,14.97,4.77,59,952,snohomish,-121.786102,48.264268
No,2017,757,70,70,2,-0.09,302,8.02,-7.02,14,2.08,193,1340,douglas,-119.743999,47.77067
No,2017,244,-26,-96,3,1.21,268,10.61,-4.78,16.89,4.33,289,1723,okanogan,-119.788492,48.095146
Yes,2017,890,-84,53,137,0.91,809,7.45,-6.29,13.72,1.18,103,1239,stevens,-117.479672,48.084915
Yes,2017,60,-78,61,28,6.76,1951,10.82,1.56,16.34,5.3,20,922,grays_harbor,-123.352811,47.036194
No,2017,360,98,19,2,1.8,179,10.18,-4.69,16.77,3.59,202,1621,grant,-119.649828,47.122479
No,2017,620,59,-80,8,0.68,348,8.9,-6.73,14.74,3.06,230,1427,okanogan,-119.812836,48.272009
No,2017,337,-40,91,87,1.98,208,10.93,-3.86,16.91,4.96,286,1639,grant,-119.99708,47.101104
Yes,2017,1085,-29,-95,53,0.07,3444,5.43,-4.31,9.71,1.16,132,715,king,-121.31238,47.534898
Yes,2017,909,57,-82,133,3.68,4419,8.07,-0.44,12,4.14,102,661,grays_harbor,-123.610056,47.481602
Yes,2017,1023,-99,2,95,0.92,731,7.05,-4.57,12.35,1.76,122,1058,kittitas,-120.720386,47.227906
No,2017,1668,-49,-86,150,-4.21,3529,1.76,-7.17,5.67,-2.16,111,538,whatcom,-121.335172,48.806148
Yes,2017,1366,84,52,81,0.05,729,6.34,-4.3,10.97,1.71,192,896,yakima,-120.985588,46.696551
Yes,2017,740,60,79,57,1.69,600,8.36,-4.48,14.36,2.36,120,1283,spokane,-117.069705,47.628178
Yes,2017,1392,99,-13,35,-0.08,2473,4.55,-4.25,8.76,0.34,98,569,pierce,-121.739393,46.976771
No,2017,368,43,-89,26,1.12,323,9.77,-5.59,16.19,3.35,222,1619,okanogan,-119.50445,48.444253
No,2017,343,-85,51,2,1.99,216,10.2,-4.31,16.73,3.68,198,1579,grant,-119.110139,47.031825
No,2017,868,-90,41,96,0.32,249,8.26,-4.69,14.02,2.51,229,1295,yakima,-119.908185,46.458606
Yes,2017,60,89,-44,77,6.3,2126,9.95,1.29,15,4.89,22,768,pacific,-123.587698,46.688774
No,2017,612,-39,-91,44,0.93,364,9.39,-5.04,14.69,4.09,266,1367,douglas,-120.235086,47.457033
Yes,2017,721,59,80,16,1.37,697,7.65,-6.02,14.18,1.11,84,1242,pend_oreille,-117.34944,48.548545
No,2017,118,-10,99,15,3.77,219,12.27,-1.75,18.72,5.81,230,1799,walla_walla,-119.004025,46.221106
No,2017,234,-44,89,4,2.7,230,11,-2.84,17.65,4.35,192,1687,franklin,-119.052509,46.544099
Yes,2017,1524,46,-88,196,0.29,4008,4.37,-4.28,8.3,0.43,85,499,king,-121.483025,47.491888
No,2017,578,-92,-38,75,0.54,677,9.18,-4.92,14.7,3.66,260,1379,chelan,-120.432792,47.565227
Yes,2017,177,78,62,31,6.61,3008,9.92,1.64,14.46,5.38,23,686,clallam,-124.334226,48.109829
Yes,2017,435,23,-97,163,0.87,2257,7.98,-3.1,12.84,3.13,141,977,whatcom,-121.176503,48.707167
No,2017,427,-3,-99,10,2.67,229,11,-2.98,16.95,5.06,278,1563,yakima,-120.374929,46.284877
Yes,2017,245,0,0,0,5.89,2458,9.85,1.32,14.52,5.18,37,730,clallam,-124.10991,48.064261
Yes,2017,810,86,-49,125,3.72,4156,7.66,-0.4,11.75,3.58,88,628,clallam,-123.905814,47.968945
No,2017,130,-54,83,15,6.84,1193,10.84,1.94,15.29,6.4,48,811,snohomish,-122.087958,47.822112
No,2017,4,-44,89,3,6.99,855,10.48,2,14.93,6.05,31,728,skagit,-122.381154,48.408212
No,2017,314,-25,-96,32,3.07,241,11.13,-2.59,17.09,5.18,240,1592,benton,-119.54105,46.322251
No,2017,615,-99,-6,23,1.89,257,9.82,-3.51,15.58,4.07,233,1419,benton,-119.708376,46.347583
No,2017,148,96,-24,22,4.97,2145,10.38,0.59,15.27,5.49,71,979,snohomish,-121.571288,47.80926
Yes,2018,1418,2,99,68,0.32,2748,4.91,-3.3,8.98,0.84,105,556,skamania,-122.146729,46.345398
Yes,2017,1111,-99,0,107,1.43,1984,6.2,-2.64,10.46,1.94,100,677,skamania,-121.7926,46.369999
Yes,2017,1117,79,60,83,1.43,1024,6.48,-5.76,10.6,2.36,112,915,spokane,-117.106546,47.94626
Yes,2017,100,36,-92,82,6.89,2621,10.25,1.79,14.92,5.58,24,704,grays_harbor,-123.739744,47.177013
Yes,2018,961,78,62,35,-0.5,364,6.8,-8.32,12.95,0.65,151,1198,okanogan,-119.14129200000001,48.604675
Yes,2017,1201,40,91,79,-0.85,690,6.41,-6.6,11.01,1.8,185,959,okanogan,-120.440193,48.58208
Yes,2018,773,77,-63,137,3.04,1473,8.1,-2.6,12.66,3.55,125,865,skamania,-121.697004,45.718051
No,2017,1025,74,66,9,0.79,537,8.86,-3.2,13.87,3.85,271,1157,garfield,-117.465889,46.395532
Yes,2017,1219,-70,70,24,-0.3,1111,7.85,-4.08,12.76,2.94,266,1082,columbia,-117.803247,46.247849
No,2017,269,-97,-21,10,2.99,290,11.17,-2.21,17.64,4.69,212,1681,walla_walla,-118.824283,46.191987
No,2017,188,-89,-44,4,3.2,224,11.55,-1.93,18.17,4.94,176,1701,benton,-119.495701,45.985191
Yes,2019,1508,3,-99,123,0.88,3144,4.92,-3.49,9.01,0.82,97,585,jefferson,-123.305667,47.678942
Yes,2017,87,-7,99,4,7.03,2767,10.15,1.98,14.6,5.7,23,656,grays_harbor,-124.109263,47.274409
No,2018,1266,-95,-30,115,-0.01,881,7.81,-4,12.59,3.04,268,1035,columbia,-117.636832,46.26887
Yes,2017,576,18,-98,63,5.33,2420,8.75,0.64,12.93,4.56,51,650,lewis,-123.228414,46.398903
Yes,2017,531,19,98,135,3.73,1705,9.47,-0.94,15.13,3.8,77,1132,lewis,-121.825519,46.506876
No,2017,658,70,-70,5,0.7,284,8.8,-5.94,14.91,2.69,194,1397,douglas,-119.401865,47.792832
Yes,2017,400,96,26,72,5.77,1372,9.88,0.9,15.12,4.65,35,975,thurston,-122.582682,46.786138
No,2017,636,0,-100,8,1.25,298,8.6,-5.03,15.01,2.19,136,1395,lincoln,-118.648673,47.504745
No,2017,641,-99,7,10,1.43,310,8.65,-4.88,14.96,2.34,141,1371,lincoln,-118.453416,47.39768
Yes,2017,1083,51,-85,106,0.34,1128,8.07,-4.06,13.3,2.85,223,1099,columbia,-117.949928,46.115273
No,2017,528,63,-77,17,1.62,277,9.4,-4.57,16.02,2.79,148,1503,lincoln,-118.629818,47.343486
No,2017,215,-70,70,3,3.06,237,11.36,-2.41,17.94,4.77,206,1737,franklin,-119.018076,46.38176
Yes,2018,501,-25,96,21,2.97,516,9.85,-2.22,15.44,4.26,181,1275,klickitat,-121.171543,45.717382
Yes,2017,1192,-46,88,79,-0.56,628,7.56,-4.5,12.76,2.36,245,1093,asotin,-117.266303,46.124499
No,2017,526,97,24,6,1.99,395,9.63,-3.49,16.3,2.95,135,1491,whitman,-117.882857,47.057932
Yes,2017,262,86,-50,29,6.64,1813,11.2,1.33,16.44,5.96,46,1026,thurston,-123.12673,46.862981
Yes,2017,1207,-28,-95,190,2.4,2238,5.51,-2.78,9.46,1.57,64,465,pierce,-121.915172,47.009159
No,2017,355,98,-19,2,1.99,238,10.31,-4.28,17.37,3.25,188,1636,yakima,-120.773836,46.432955
Yes,2017,121,55,83,25,6.47,1247,10.76,1.23,16.07,5.46,33,976,thurston,-122.64479,46.926379
Yes,2017,532,31,94,78,4.9,3155,8.74,0.04,13.44,4.03,47,729,lewis,-123.322579,46.398129
Yes,2017,565,80,-58,21,0.52,676,8.21,-5.5,14.61,1.81,144,1332,chelan,-120.666389,47.765737
Yes,2018,880,77,62,38,-0.26,365,8.15,-6.39,13.44,2.86,249,1286,okanogan,-119.440353,48.271049
No,2017,447,-38,-92,68,0.74,320,9.41,-6.08,15.29,3.52,245,1512,okanogan,-119.652409,48.329814
No,2017,588,38,-92,19,1.12,288,8.87,-5.17,15.33,2.41,155,1453,lincoln,-118.848692,47.698223
Yes,2017,79,-97,-22,69,7.19,2687,9.64,4.05,12.07,7.22,43,380,clallam,-124.6972,48.231964
No,2017,608,-68,72,36,2.58,502,10.74,-2.02,15.9,5.59,273,1367,columbia,-118.153234,46.392026
No,2017,160,0,0,0,2.96,213,12.11,-2.36,18.67,5.55,284,1897,benton,-119.555818,46.476319
No,2017,242,-3,-99,29,2.72,210,11.6,-2.85,18.07,5.13,270,1820,benton,-119.732056,46.502468
No,2017,155,31,-94,10,2.71,196,12.16,-2.96,18.76,5.56,296,1956,grant,-119.619835,46.675637
Yes,2017,614,-91,-39,64,5.39,1986,9.46,0.57,14.16,4.76,67,870,lewis,-122.109216,46.498342
Yes,2017,676,-65,-75,141,4.79,3016,8.53,0.34,12.84,4.24,65,676,pacific,-123.376243,46.485252
Yes,2017,42,94,-31,15,6.43,1869,10.68,1.48,15.82,5.54,35,927,mason,-123.17164,47.183437
No,2017,787,80,-59,12,1.86,446,8.51,-4.75,13.95,3.07,163,1224,lincoln,-117.954029,47.704048
Yes,2017,809,3,99,100,3.19,3370,7.49,-1.48,11.59,3.4,106,731,skamania,-122.188896,45.803081
Yes,2017,986,92,-37,14,0.4,652,6.55,-6.46,11.98,1.12,151,1063,stevens,-117.745169,48.851795
No,2017,747,5,99,6,1.66,452,8.17,-5.04,14.03,2.31,120,1242,spokane,-117.777238,47.574655
Yes,2017,864,63,76,75,1.02,606,7.69,-5.83,13.68,1.7,125,1234,stevens,-117.644854,48.192267
No,2017,657,-70,70,1,1.68,554,7.97,-5.59,14.63,1.32,62,1305,spokane,-117.42961,47.944763
Yes,2017,696,-77,-62,60,-0.17,2868,7.54,-3.89,12.79,2.29,157,1052,snohomish,-121.272468,48.15689
No,2017,406,3,99,19,0.76,323,9.44,-5.96,15.78,3.11,218,1565,okanogan,-119.514251,48.618849
Yes,2017,1063,90,42,22,0.43,527,6.84,-6.28,11.71,1.96,188,1050,ferry,-118.260181,48.857428
Yes,2017,832,-96,-27,152,3.34,2585,6.83,-1.96,10.94,2.72,59,635,cowlitz,-122.328791,46.298337
No,2017,342,0,0,0,2.57,226,10.53,-3.26,17.09,3.97,175,1603,franklin,-118.885705,46.677668
Yes,2017,1126,-97,21,52,-0.55,466,6.12,-7.16,11.08,1.16,180,978,okanogan,-118.851878,48.977387
Yes,2017,390,53,-84,38,2,418,9.62,-4.19,16.3,2.93,127,1546,ferry,-118.193117,48.217558
No,2017,574,-64,76,32,2.81,516,10.69,-1.96,16.14,5.25,247,1399,columbia,-118.109434,46.221161
No,2017,581,-26,-96,58,2.17,483,10.74,-2,16.32,5.16,263,1476,garfield,-117.489864,46.584195
Yes,2018,75,-27,96,34,6.76,2702,9.99,3.05,13.78,6.2,32,606,clallam,-124.611919,47.899935
No,2017,740,-66,74,12,0.96,329,8.28,-5.61,14.31,2.25,151,1316,lincoln,-118.685393,47.830656
No,2017,422,-88,47,5,1.77,222,9.93,-4.3,16.39,3.47,192,1557,grant,-119.132102,47.195959
Yes,2017,114,-89,-44,3,6.5,2417,10.49,1.67,15.73,5.25,24,889,mason,-123.377268,47.204559
Yes,2017,1133,65,75,151,3.42,1509,7.1,-1.03,10.68,3.52,95,554,jefferson,-123.007387,47.846063
Yes,2017,1720,-84,54,51,-0.41,1202,4.03,-7.01,8.09,0,122,648,pend_oreille,-117.138893,48.440263
Yes,2017,691,17,-98,6,1.99,470,8.75,-3.41,14.89,2.6,135,1246,klickitat,-121.002322,45.937029
Yes,2018,791,-66,74,18,2.04,694,8.02,-3.78,14.27,1.78,77,1190,yakima,-121.085231,46.079533
Yes,2017,66,-76,64,41,6.67,2251,10.72,1.66,16.15,5.28,21,912,grays_harbor,-123.373103,47.071549
Yes,2017,675,-54,-83,118,3.09,3390,7.89,-0.83,11.87,3.92,64,628,skagit,-121.8148,48.305793
No,2017,473,-66,74,7,2.05,385,10.09,-3.06,17.01,3.16,128,1582,whitman,-117.874429,46.889497
Yes,2017,1794,11,-99,122,-1.77,972,4.84,-5.65,9.65,0.04,193,796,garfield,-117.573649,46.117439
Yes,2017,1369,-99,2,119,-0.79,1442,6.89,-4.71,11.71,2.08,241,946,columbia,-117.801152,46.082014
Yes,2017,314,-34,-93,16,6.24,2276,10.04,1.25,15.1,4.99,31,845,pacific,-123.454162,46.688976
No,2017,673,-98,16,4,1.42,676,7.64,-5.96,14.44,0.84,57,1304,pend_oreille,-117.276909,48.238984
No,2017,689,83,-55,37,1.37,320,8.66,-4.88,14.95,2.38,182,1340,yakima,-120.8038,46.590438
Yes,2017,307,-99,9,14,3.66,2712,8.68,-1.78,13.53,3.85,45,830,skagit,-121.689378,48.622737
Yes,2017,165,13,99,52,6.24,1528,10.68,0.97,16.25,5.12,30,1027,lewis,-122.72356,46.729791
Yes,2017,134,-77,-63,31,6.59,1163,10.95,1.22,16.56,5.34,27,1017,lewis,-122.929016,46.737133
Yes,2017,133,-56,82,43,6.34,1454,10.83,1.04,16.49,5.17,29,1049,lewis,-122.794354,46.694439
No,2017,636,52,-85,13,0.74,265,8.92,-5.75,15.21,2.62,193,1464,grant,-119.204727,47.675176
Yes,2018,178,85,-52,35,6.46,1409,10.76,1.29,15.84,5.67,43,951,thurston,-122.794773,46.874239
No,2017,609,-71,69,41,0.41,402,9.09,-5.48,14.74,3.43,260,1416,okanogan,-119.97003,48.129964
No,2017,488,-83,54,7,2.02,374,9.8,-3.47,16.48,3.11,138,1519,adams,-118.04496,46.923963
Yes,2017,1390,59,-80,83,-1.54,1135,4.63,-6.32,9.66,-0.4,151,818,kittitas,-120.748099,47.380237
Yes,2017,464,-87,-49,17,4.79,2468,8.67,-0.08,12.69,4.66,59,670,king,-121.714054,47.673614
Yes,2017,124,-94,-33,54,6.5,1315,11.26,1.26,16.56,5.95,60,1036,cowlitz,-122.781139,45.952403
No,2017,81,-79,-60,5,6.58,1190,11.49,1.42,16.81,6.18,64,1087,clark,-122.553696,45.694358
Yes,2017,1198,-88,47,108,1.78,2818,5.71,-2.91,9.72,1.71,73,559,king,-121.635134,47.279041
Yes,2017,1418,97,-24,84,-1.14,1324,3.48,-8.78,8.77,-1.81,75,773,pend_oreille,-117.183306,48.763784
No,2017,1931,-40,-91,85,-1.56,1439,2.16,-5.98,6.19,-1.86,89,483,clallam,-123.180665,47.892809
No,2017,280,8,99,8,2.64,231,11.02,-2.84,17.6,4.45,206,1665,yakima,-120.031398,46.160368
Yes,2017,1009,20,97,143,-0.09,591,7.56,-4.78,12.4,2.73,238,1107,chelan,-120.426737,47.403932
Yes,2017,746,99,8,90,5.08,2945,9,0.2,13.5,4.51,67,800,lewis,-122.495852,46.645078
Yes,2017,170,-96,26,5,5.85,1802,10.5,1.25,15.26,5.75,68,903,kitsap,-122.903183,47.548911
No,2017,734,-100,0,18,1.8,497,8.69,-3.67,14.91,2.48,119,1305,whitman,-117.366013,47.117118
No,2017,503,-97,-21,39,2.84,412,10.83,-2.16,16.4,5.25,247,1448,walla_walla,-118.326008,46.421584
No,2017,654,41,91,42,-0.12,344,8.21,-6.52,14.38,2.06,208,1392,okanogan,-119.35916,48.663168
No,2017,610,-47,88,6,1.52,397,8.9,-4.44,15.57,2.23,121,1433,whitman,-117.905615,47.223241
Yes,2017,879,73,-67,44,0.95,593,8.18,-5.27,13.61,2.78,207,1216,stevens,-117.997113,48.0184
Yes,2017,1548,-95,28,86,-2.16,576,4.61,-7.5,9.07,0.15,187,789,okanogan,-118.960389,48.48599
Yes,2017,1224,84,53,28,-2.08,474,4.87,-9.46,10.79,-1.06,149,1060,okanogan,-119.014225,48.836597
Yes,2017,44,43,-90,76,6.18,1487,9.74,2.29,13.47,6.01,40,614,clallam,-123.958795,48.144222
No,2017,163,0,100,1,2.69,207,12.18,-2.75,18.67,5.7,315,1980,benton,-119.577007,46.636606
Yes,2017,297,43,-90,26,6.48,3800,9.83,0.71,13.92,5.74,50,629,grays_harbor,-123.765912,47.327222
No,2017,758,-96,-27,38,1.09,256,9.33,-4.15,15.24,3.42,254,1424,yakima,-119.9239,46.617425
No,2017,770,79,60,18,1.92,480,10.1,-2.32,15.32,4.88,265,1323,garfield,-117.644051,46.449561
No,2017,726,-69,72,20,1.58,354,9.43,-3.54,15.34,3.53,247,1383,yakima,-120.356539,46.123038
No,2017,1122,99,-5,12,-0.06,485,8.01,-4.23,13.42,2.59,222,1164,asotin,-117.099392,46.110394
Yes,2018,1073,89,-44,51,0.44,645,7.43,-5.92,12.72,2.14,200,1126,stevens,-118.019371,48.337311
Yes,2017,1136,-53,-84,17,-2.07,495,5.34,-8.98,11.18,-0.51,151,1072,okanogan,-119.8726,48.567916
No,2017,496,-83,-55,9,1.22,247,9.7,-5.02,15.94,3.47,218,1543,grant,-119.351707,47.464788
No,2017,604,-70,-70,12,1.84,666,8.32,-5.1,14.11,2.55,119,1233,stevens,-117.949854,48.878797
Yes,2017,1061,98,18,8,-0.38,758,5.12,-8.11,11.94,-1.71,40,1053,pend_oreille,-117.522317,48.725948
Yes,2017,267,-63,-77,5,3.96,2110,8.74,-1.62,13.66,3.83,54,839,skagit,-122.077904,48.594456
Yes,2017,1352,99,-1,57,-2.71,666,6.09,-6.46,11.24,0.93,235,1099,okanogan,-120.168594,48.093216
Yes,2017,1321,-90,-43,81,-2.77,1220,3.38,-7.94,8.1,-1.35,104,736,skagit,-120.767622,48.565149
Yes,2017,120,12,-99,52,6.13,1437,10.55,1.48,15.27,5.84,58,882,kitsap,-122.750548,47.584626
Yes,2017,879,-72,68,121,-0.8,1405,6.59,-6.21,12.12,1.07,135,1076,chelan,-120.892987,48.344136
Yes,2017,1729,88,-47,135,-3.71,1453,3.2,-6.96,7.5,-1.1,149,684,chelan,-120.754802,48.245627
Yes,2017,640,-28,95,118,1.42,1174,8.27,-4.05,13.41,3.13,125,1049,whatcom,-121.022469,48.829673
No,2017,416,21,97,7,2.1,227,9.95,-4.05,16.35,3.54,181,1511,grant,-119.032852,46.948643
Yes,2017,523,1,99,122,5.52,3919,9.63,1.13,14.37,4.9,66,771,clallam,-124.083292,47.912505
Yes,2017,1268,-96,-24,122,-0.7,751,5.15,-7.73,10.26,0.05,148,877,stevens,-117.547545,48.879302
Yes,2017,250,-96,-27,45,6.33,3950,10.27,1.07,14.91,5.64,43,800,grays_harbor,-123.57783,47.306017
No,2017,6,-70,70,1,7.61,1896,10.78,2.29,15.69,5.87,12,707,grays_harbor,-123.524033,46.980063
Yes,2017,277,-92,38,72,5.77,2336,9.82,1.18,15,4.65,35,842,grays_harbor,-123.475999,46.823901
No,2019,703,-3,99,16,1.55,438,8.39,-4.76,14.76,2.01,100,1323,spokane,-117.758648,47.422583
No,2017,313,4,-99,8,2.14,210,10.39,-4,16.93,3.86,197,1617,grant,-119.278058,46.981649
Yes,2017,313,0,-99,86,5.46,2986,8.59,-0.09,13.08,4.1,43,615,clallam,-124.504207,48.196872
Yes,2017,301,94,-33,58,6.66,2904,9.7,1.32,14.37,5.03,32,689,clallam,-124.47974,48.058056
No,2017,670,-1,-99,52,1.19,224,9.52,-4.54,15.48,3.57,254,1464,grant,-119.598365,46.803685
Yes,2017,1058,-99,1,185,-0.36,3523,5.24,-4.71,9.69,0.78,97,677,snohomish,-121.427923,48.014441
Yes,2017,414,-32,-94,44,3.97,2870,8.86,-2.12,13.79,3.93,49,852,snohomish,-121.619137,48.287586
No,2017,525,-62,78,36,2.44,438,10.55,-2.26,16.62,4.47,186,1505,whitman,-117.685898,46.782048
